student_id,school_type,grade,student_sex,지역
30912,고등,1,미정,금곡동
30913,고등,1,미정,금곡동
30914,고등,1,미정,금곡동
30915,고등,1,미정,금곡동
30916,고등,1,미정,금곡동
30917,고등,1,미정,금곡동
30918,고등,1,미정,금곡동
30919,고등,1,미정,금곡동
30920,고등,1,미정,금곡동
30921,고등,1,미정,금곡동
30922,고등,1,미정,금곡동
30923,고등,1,미정,금곡동
30924,고등,1,미정,금곡동
30925,고등,1,미정,금곡동
30926,고등,1,미정,금곡동
30927,고등,1,미정,금곡동
30928,고등,1,미정,금곡동
30929,고등,1,미정,금곡동
30930,고등,1,미정,금곡동
30931,고등,1,미정,금곡동
30932,고등,1,미정,금곡동
30933,고등,1,미정,금곡동
30934,고등,1,미정,금곡동
30935,고등,1,미정,금곡동
30936,고등,1,미정,금곡동
30937,고등,1,미정,금곡동
30938,고등,1,미정,금곡동
30939,고등,1,미정,금곡동
30940,고등,1,미정,금곡동
30941,고등,1,미정,금곡동
30942,고등,1,미정,금곡동
30943,고등,1,미정,금곡동
30944,고등,1,미정,금곡동
30945,고등,1,미정,금곡동
30946,고등,1,미정,금곡동
30947,고등,1,미정,금곡동
30948,고등,1,미정,금곡동
30949,고등,1,미정,금곡동
30950,고등,1,미정,금곡동
30951,고등,1,미정,금곡동
30952,고등,1,미정,금곡동
30953,고등,1,미정,금곡동
30954,고등,1,미정,금곡동
30955,고등,1,미정,정자3동
30956,고등,2,미정,정자3동
30957,고등,1,미정,수내1동
30958,고등,2,미정,수내1동
30959,고등,1,미정,이매1동
30960,고등,2,미정,경기도
30961,고등,3,미정,성남동
30962,고등,2,미정,단대동
30963,고등,2,미정,복정동
30964,고등,2,미정,복정동
30965,고등,2,미정,야탑3동
30966,고등,2,미정,성남동
30967,고등,3,미정,분당동
30968,고등,2,미정,경기도
30969,고등,2,미정,야탑3동
30970,고등,2,미정,금곡동
30971,고등,2,미정,금곡동
30972,고등,2,미정,금곡동
30973,고등,2,미정,금곡동
30974,고등,2,미정,금곡동
30975,고등,2,미정,금곡동
30976,고등,2,미정,금곡동
30977,고등,2,미정,금곡동
30978,고등,2,미정,금곡동
30979,고등,2,미정,금곡동
30980,고등,2,미정,금곡동
30981,고등,2,미정,금곡동
30982,고등,2,미정,금곡동
30983,고등,2,미정,금곡동
30984,고등,2,미정,금곡동
30985,고등,2,미정,금곡동
30986,고등,2,미정,금곡동
30987,고등,2,미정,금곡동
30988,고등,2,미정,금곡동
30989,고등,2,미정,금곡동
30990,고등,2,미정,금곡동
30991,고등,2,미정,금곡동
30992,고등,2,미정,금곡동
30993,고등,2,미정,금곡동
30994,고등,2,미정,금곡동
30995,고등,2,미정,금곡동
30996,고등,2,미정,금곡동
30997,고등,2,미정,금곡동
30998,고등,2,미정,금곡동
30999,고등,2,미정,금곡동
31000,고등,2,미정,금곡동
31001,고등,2,미정,금곡동
31002,고등,2,미정,금곡동
31003,고등,2,미정,금곡동
31004,고등,2,미정,금곡동
31005,고등,2,미정,금곡동
31006,고등,2,미정,금곡동
31007,고등,2,미정,금곡동
31008,고등,2,미정,금곡동
31009,고등,2,미정,금곡동
31010,고등,2,미정,금곡동
31011,고등,2,미정,금곡동
31012,고등,2,미정,금곡동
31013,고등,2,미정,금곡동
31014,고등,2,미정,금곡동
31015,고등,2,미정,금곡동
31016,고등,2,미정,금곡동
31017,고등,2,미정,금곡동
31018,고등,2,미정,금곡동
31019,고등,2,미정,금곡동
31020,고등,2,미정,금곡동
31021,고등,2,미정,금곡동
31022,고등,2,미정,금곡동
31023,고등,2,미정,금곡동
31024,고등,2,미정,금곡동
31025,고등,2,미정,금곡동
31026,고등,2,미정,금곡동
31027,고등,2,미정,금곡동
31028,고등,2,미정,금곡동
31029,고등,2,미정,금곡동
31030,고등,2,미정,금곡동
31031,고등,2,미정,금곡동
31032,고등,2,미정,금곡동
31033,고등,2,미정,금곡동
31034,고등,2,미정,금곡동
31035,고등,2,미정,금곡동
31036,고등,2,미정,금곡동
31037,고등,2,미정,금곡동
31038,고등,2,미정,금곡동
31039,고등,2,미정,금곡동
31040,고등,2,미정,금곡동
31041,고등,2,미정,금곡동
31042,고등,2,미정,금곡동
31043,고등,2,미정,금곡동
31044,고등,2,미정,금곡동
31045,고등,2,미정,금곡동
31046,고등,2,미정,금곡동
31047,고등,2,미정,금곡동
31048,고등,2,미정,금곡동
31049,고등,2,미정,금곡동
31050,고등,2,미정,금곡동
31051,고등,2,미정,금곡동
31052,고등,2,미정,금곡동
31053,고등,2,미정,금곡동
31054,고등,2,미정,금곡동
31055,고등,2,미정,금곡동
31056,고등,2,미정,금곡동
31057,고등,2,미정,금곡동
31058,고등,2,미정,금곡동
31059,고등,2,미정,금곡동
31060,고등,2,미정,금곡동
31061,고등,2,미정,금곡동
31062,고등,2,미정,금곡동
31063,고등,2,미정,금곡동
31064,고등,2,여,경기도
31065,고등,2,남,성남동
31066,고등,2,여,경기도
31067,고등,2,여,성남동
31068,고등,1,미정,경기도
31069,고등,1,미정,경기도
31070,고등,1,미정,경기도
31071,고등,2,미정,금광2동
31072,고등,2,미정,성남동
31073,고등,1,미정,성남동
31074,고등,1,미정,성남동
31075,고등,1,미정,성남동
31076,고등,1,미정,성남동
31077,고등,1,미정,성남동
31078,고등,1,미정,성남동
31079,고등,1,미정,성남동
31080,고등,1,미정,성남동
31081,고등,1,미정,성남동
31082,고등,1,미정,성남동
31083,고등,1,미정,성남동
31084,고등,1,미정,성남동
31085,고등,1,미정,성남동
31086,고등,1,미정,성남동
31087,고등,1,미정,성남동
31088,고등,1,미정,성남동
31089,고등,1,미정,성남동
31090,고등,1,미정,성남동
31091,고등,1,미정,성남동
31092,고등,1,미정,성남동
31093,고등,1,미정,성남동
31094,고등,1,미정,성남동
31095,고등,1,미정,성남동
31096,고등,1,미정,성남동
31097,고등,1,미정,성남동
31098,고등,1,미정,성남동
31099,고등,1,미정,성남동
31100,고등,1,미정,성남동
31101,고등,1,미정,성남동
31102,고등,1,미정,성남동
31103,고등,1,미정,성남동
31104,고등,1,미정,성남동
31105,고등,1,미정,성남동
31106,고등,1,미정,성남동
31107,고등,1,미정,성남동
31108,고등,1,미정,성남동
31109,고등,1,미정,성남동
31110,고등,1,미정,성남동
31111,고등,1,미정,성남동
31112,고등,1,미정,성남동
31113,고등,1,미정,성남동
31114,고등,1,미정,성남동
31115,고등,1,미정,성남동
31116,고등,1,미정,성남동
31117,고등,1,미정,성남동
31118,고등,1,미정,성남동
31119,고등,1,미정,성남동
31120,고등,1,미정,성남동
31121,고등,1,미정,성남동
31122,고등,1,미정,성남동
31123,고등,1,미정,성남동
31124,고등,1,미정,성남동
31125,고등,1,미정,성남동
31126,고등,1,미정,성남동
31127,고등,1,미정,성남동
31128,고등,1,미정,성남동
31129,고등,1,미정,성남동
31130,고등,1,미정,성남동
31131,고등,1,미정,성남동
31132,고등,1,미정,성남동
31133,고등,1,미정,성남동
31134,고등,1,미정,성남동
31135,고등,1,미정,성남동
31136,고등,1,미정,성남동
31137,고등,1,미정,성남동
31138,고등,1,미정,성남동
31139,고등,1,미정,성남동
31140,고등,1,미정,성남동
31141,고등,1,미정,성남동
31142,고등,1,미정,성남동
31143,고등,1,미정,성남동
31144,고등,1,미정,성남동
31145,고등,1,미정,성남동
31146,고등,1,미정,성남동
31147,고등,1,미정,성남동
31148,고등,1,미정,성남동
31149,고등,1,미정,성남동
31150,고등,1,미정,성남동
31151,고등,1,미정,성남동
31152,고등,1,미정,성남동
31153,고등,1,미정,성남동
31154,고등,1,미정,성남동
31155,고등,1,미정,성남동
31156,고등,1,미정,성남동
31157,고등,1,미정,성남동
31158,고등,1,미정,성남동
31159,고등,1,미정,성남동
31160,고등,1,미정,성남동
31161,고등,1,미정,성남동
31162,고등,1,미정,성남동
31163,고등,1,미정,성남동
31164,고등,1,미정,성남동
31165,고등,1,미정,성남동
31166,고등,1,미정,성남동
31167,고등,1,미정,성남동
31168,고등,1,미정,성남동
31169,고등,1,미정,성남동
31170,고등,1,미정,성남동
31171,고등,1,미정,성남동
